source_text,plagiarized_text,label
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions.  ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight.  ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello.  ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity.  ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth.  ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life.  ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world.  ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth.  ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation.  ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa.  ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris.  ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second.  ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity.  ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph.  ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy.  ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours.  ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA.  ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World.  ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun.  ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States.  ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world.  ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones.  ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet.  ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane.  ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo.  ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure.  ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication.  ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions.  ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal.  ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions.  ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines.  ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being.  ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system.  ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats.  ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system.  ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon.  ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen.  ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
The Milky Way is the galaxy that contains our Solar System.  ,Our Solar System is within the Milky Way galaxy. ,0
The square root of 144 is 12.  ,Twelve is the square root of one hundred forty-four. ,0
Oxygen is essential for human survival.  ,Humans need oxygen to survive. ,0
DNA carries genetic information in living organisms.  ,The genetic code in organisms is stored in DNA. ,0
The speed of sound varies depending on the medium it travels through.  ,Sound's speed changes with the medium it moves through. ,0
The United Nations was founded in 1945 to promote international peace.  ,International peace efforts led to the founding of the UN in 1945. ,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions.  ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight.  ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello.  ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity.  ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth.  ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life.  ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world.  ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth.  ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation.  ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa.  ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris.  ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second.  ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity.  ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph.  ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy.  ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours.  ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA.  ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World.  ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun.  ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States.  ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world.  ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones.  ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet.  ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane.  ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo.  ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure.  ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication.  ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions.  ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal.  ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions.  ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines.  ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being.  ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system.  ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats.  ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system.  ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon.  ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen.  ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
The Milky Way is the galaxy that contains our Solar System.  ,Our Solar System is within the Milky Way galaxy. ,0
The square root of 144 is 12.  ,Twelve is the square root of one hundred forty-four. ,0
Oxygen is essential for human survival.  ,Humans need oxygen to survive. ,0
DNA carries genetic information in living organisms.  ,The genetic code in organisms is stored in DNA. ,0
The speed of sound varies depending on the medium it travels through.  ,Sound's speed changes with the medium it moves through. ,0
The United Nations was founded in 1945 to promote international peace.  ,International peace efforts led to the founding of the UN in 1945. ,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions.  ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight.  ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello.  ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity.  ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth.  ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life.  ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world.  ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth.  ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation.  ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa.  ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris.  ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second.  ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity.  ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph.  ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy.  ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours.  ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA.  ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World.  ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun.  ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States.  ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world.  ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones.  ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet.  ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane.  ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo.  ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure.  ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication.  ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions.  ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal.  ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions.  ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines.  ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being.  ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system.  ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats.  ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system.  ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon.  ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen.  ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
The Milky Way is the galaxy that contains our Solar System.  ,Our Solar System is within the Milky Way galaxy. ,0
The square root of 144 is 12.  ,Twelve is the square root of one hundred forty-four. ,0
Oxygen is essential for human survival.  ,Humans need oxygen to survive. ,0
DNA carries genetic information in living organisms.  ,The genetic code in organisms is stored in DNA. ,0
The speed of sound varies depending on the medium it travels through.  ,Sound's speed changes with the medium it moves through. ,0
The United Nations was founded in 1945 to promote international peace.  ,International peace efforts led to the founding of the UN in 1945. ,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions.  ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight.  ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello.  ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity.  ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth.  ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life.  ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world.  ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth.  ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation.  ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa.  ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris.  ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second.  ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity.  ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph.  ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy.  ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours.  ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA.  ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World.  ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun.  ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States.  ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world.  ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones.  ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet.  ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane.  ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo.  ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure.  ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication.  ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions.  ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal.  ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions.  ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines.  ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being.  ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system.  ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats.  ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system.  ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon.  ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen.  ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
The Milky Way is the galaxy that contains our Solar System.  ,Our Solar System is within the Milky Way galaxy. ,0
The square root of 144 is 12.  ,Twelve is the square root of one hundred forty-four. ,0
Oxygen is essential for human survival.  ,Humans need oxygen to survive. ,0
DNA carries genetic information in living organisms.  ,The genetic code in organisms is stored in DNA. ,0
The speed of sound varies depending on the medium it travels through.  ,Sound's speed changes with the medium it moves through. ,0
The United Nations was founded in 1945 to promote international peace.  ,International peace efforts led to the founding of the UN in 1945. ,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions.  ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight.  ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello.  ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity.  ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth.  ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life.  ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world.  ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth.  ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation.  ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa.  ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris.  ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second.  ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity.  ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph.  ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy.  ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours.  ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA.  ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World.  ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun.  ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States.  ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world.  ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones.  ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet.  ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane.  ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo.  ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure.  ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication.  ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions.  ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal.  ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions.  ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines.  ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being.  ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system.  ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats.  ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system.  ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon.  ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen.  ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
The Milky Way is the galaxy that contains our Solar System.  ,Our Solar System is within the Milky Way galaxy. ,0
The square root of 144 is 12.  ,Twelve is the square root of one hundred forty-four. ,0
Oxygen is essential for human survival.  ,Humans need oxygen to survive. ,0
DNA carries genetic information in living organisms.  ,The genetic code in organisms is stored in DNA. ,0
The speed of sound varies depending on the medium it travels through.  ,Sound's speed changes with the medium it moves through. ,0
The United Nations was founded in 1945 to promote international peace.  ,International peace efforts led to the founding of the UN in 1945. ,0
"Rainbows form due to the refraction, dispersion, and reflection of light in water droplets.  ",Light bends and splits in raindrops to create rainbows. ,0
The Great Wall of China was built to protect against invasions. ,China's Great Wall was constructed to defend against invasions. ,1
Photosynthesis is the process by which green plants produce their own food using sunlight. ,Green plants use sunlight to create their food through photosynthesis. ,1
"Shakespeare wrote many famous plays, including Hamlet and Othello. ",Among Shakespeare's well-known works are Othello and Hamlet. ,1
Albert Einstein developed the theory of relativity. ,The theory of relativity was formulated by Albert Einstein. ,1
The Pacific Ocean is the largest ocean on Earth. ,Earth's biggest ocean is the Pacific. ,1
Electricity is essential for modern life. ,"In today's world, electricity is a necessity. ",1
Mount Everest is the highest mountain in the world. ,The tallest mountain on the planet is Mount Everest. ,1
Gravity is the force that pulls objects toward the center of the Earth. ,Objects are pulled toward Earth's center due to gravity. ,1
Isaac Newton formulated the laws of motion and universal gravitation. ,The principles of motion and gravity were established by Newton. ,1
Leonardo da Vinci painted the Mona Lisa. ,The Mona Lisa was painted by Leonardo da Vinci. ,1
The Eiffel Tower is a famous landmark in Paris. ,Paris is home to the well-known Eiffel Tower. ,1
"The speed of light in a vacuum is approximately 299,792 kilometers per second. ","In a vacuum, light travels at roughly 299,792 km per second. ",1
The Amazon Rainforest is known for its vast biodiversity. ,The Amazon is famous for its rich variety of species. ,1
Thomas Edison invented the phonograph. ,The phonograph was invented by Thomas Edison. ,1
Bananas are rich in potassium and provide a quick source of energy. ,A good source of potassium and energy is found in bananas. ,1
A day on Mars lasts approximately 24.6 hours. ,Mars has a day length of about 24.6 hours. ,1
"The first manned moon landing was in 1969, conducted by NASA. ",NASA's 1969 mission marked the first human landing on the moon. ,1
The Pyramids of Giza are one of the Seven Wonders of the Ancient World. ,One of the ancient Seven Wonders includes the Giza Pyramids. ,1
A solar eclipse occurs when the Moon passes between the Earth and the Sun. ,"When the Moon blocks the Sun from Earth, a solar eclipse happens. ",1
The Statue of Liberty was a gift from France to the United States. ,France presented the U.S. with the Statue of Liberty as a gift. ,1
The Sahara Desert is the largest hot desert in the world. ,The biggest hot desert on Earth is the Sahara. ,1
The human body has 206 bones. ,There are 206 bones in the human skeletal system. ,1
William Shakespeare was an English playwright and poet. ,"Shakespeare, the English poet and playwright, was renowned worldwide. ",1
The Wright brothers built and flew the first successful airplane. ,The first powered flight was achieved by the Wright brothers. ,1
The capital of Japan is Tokyo. ,Tokyo is the capital city of Japan. ,0
Water boils at 100 degrees Celsius under standard atmospheric pressure. ,"At standard pressure, water reaches its boiling point at 100Â°C. ",0
The internet has revolutionized global communication. ,The way people communicate globally has changed due to the internet. ,0
The human brain controls all bodily functions. ,Bodily functions are regulated by the human brain. ,0
Gold is a highly valuable and conductive metal. ,A highly conductive and valuable metal is gold. ,0
Renewable energy sources help reduce carbon emissions. ,Using renewable sources lowers carbon footprints. ,0
Mathematics is the foundation of many scientific disciplines. ,Many sciences are based on mathematics. ,0
Healthy eating and regular exercise contribute to overall well-being. ,Maintaining health involves diet and exercise. ,0
Jupiter is the largest planet in our solar system. ,The biggest planet in the solar system is Jupiter. ,0
"A balanced diet includes proteins, carbohydrates, and healthy fats. ","Proteins, carbs, and fats make up a balanced diet. ",0
Venus is the hottest planet in the solar system. ,The highest temperatures in the solar system are found on Venus. ,0
Neil Armstrong was the first person to walk on the Moon. ,The first human to step onto the Moon was Neil Armstrong. ,0
Photosynthesis converts carbon dioxide and water into glucose and oxygen. ,"Through photosynthesis, water and CO2 turn into glucose and oxygen. ",0
